category,q,category_label,sub_category_label,chart_label
Attitudes Toward Peer Use,Systemic: Attitudes favorable toward drug use: It is wrong for someone my age to drink alcohol regularly,Percentage reporting disapproval,"Wrong or ""Very wrong"" for someone my age to…","Drink beer, wine or hard liquor (for example, vodka, whiskey, gin, or rum) regularly?"
Attitudes Toward Peer Use,Systemic: Attitudes favorable toward drug use: It is wrong for someone my age to smoke cigarettes,Percentage reporting disapproval,"Wrong or ""Very wrong"" for someone my age to…",Smoke cigarettes?
Attitudes Toward Peer Use,"Systemic: Attitudes favorable toward drug use: It is wrong for someone my age to use LSD, cocaine, amphetamines or another illegal drug",Percentage reporting disapproval,"Wrong or ""Very wrong"" for someone my age to…","Use LSD, cocaine, amphetamines or another illegal drug?"
Attitudes Toward Peer Use,Systemic: Attitudes favorable toward drug use: It is wrong for someone my age to use marijuana,Percentage reporting disapproval,"Wrong or ""Very wrong"" for someone my age to…",Use marijuana?
Attitudes Toward Peer Use,Systemic: Attitudes favorable toward drug use: It is wrong for someone my age to use prescription drugs not prescribed to them,Percentage reporting disapproval,"Wrong or ""Very wrong"" for someone my age to…",Use prescription drugs not prescribed to them?
Availability Of Substances/Handguns,Systemic: Community Risk Associated With Availability: Easy to a handgun,Percentage,"How easy would it be for you to get any, if you wanted to get any of the following...  (Students indicating “Sort of hard” or ""Very hard”)",A handgun?
Availability Of Substances/Handguns,"Systemic: Community Risk Associated With Availability: Easy to get a drug like cocaine, LSD, heroin, or amphetamines",Percentage,"How easy would it be for you to get any, if you wanted to get any of the following...  (Students indicating “Sort of hard” or ""Very hard”)","A drug like cocaine, LSD, heroin, or amphetamines?"
Availability Of Substances/Handguns,"Systemic: Community Risk Associated With Availability: Easy to get beer, wine, or hard liquor",Percentage,"How easy would it be for you to get any, if you wanted to get any of the following...  (Students indicating “Sort of hard” or ""Very hard”)","some beer, wine, or hard liquor (for example: vodka, whiskey, gin, or rum),"
Availability Of Substances/Handguns,Systemic: Community Risk Associated With Availability: Easy to get cigarettes,Percentage,"How easy would it be for you to get any, if you wanted to get any of the following...  (Students indicating “Sort of hard” or ""Very hard”)",Cigarettes?
Availability Of Substances/Handguns,Systemic: Community Risk Associated With Availability: Easy to get marijuana,Percentage,"How easy would it be for you to get any, if you wanted to get any of the following...  (Students indicating “Sort of hard” or ""Very hard”)",Marijuana?
Availability Of Substances/Handguns,Systemic: Community Risk Associated With Availability: Easy to get prescription drugs not prescribed to you,Percentage,"How easy would it be for you to get any, if you wanted to get any of the following...  (Students indicating “Sort of hard” or ""Very hard”)",Prescription drugs not prescribed to you?
Binge Drinking And Driving Under The Influence,Binge Drinking,Percentage engaging in behavior,Binge drinking and driving under the influence,Binge drinking during past two weeks
Binge Drinking And Driving Under The Influence,Driving After Alcohol,Percentage engaging in behavior,Binge drinking and driving under the influence,Driving after alcohol use in past year
Binge Drinking And Driving Under The Influence,Driving After Marijuana,Percentage engaging in behavior,Binge drinking and driving under the influence,Driving after marijuana use in past year
Bullying And Internet Safety,Bullying: Do adults at your school stop bullying when they see/hear it or when a student tells them about it?,Percentage answering “yes” or “YES!”,Bullying and Internet safety,Adults at your school stop bullying when they see/hear it/student tells them about it
Bullying And Internet Safety,Bullying: Have you stayed home from school this year because you were worried about being bullied?,Percentage answering “yes” or “YES!”,Bullying and Internet safety,Stayed home from school b/c worried about being bullied
Bullying And Internet Safety,Inappropriate Internet Contact,Percentage answering “yes” or “YES!”,Bullying and Internet safety,Inappropriate sexual contact through technology
Commitment To School - Perceived Importance Of School,Commitment to school: Enjoyed being in school during past year,Percentage,"(Students answering ""often"" or ""almost always"")",Enjoyed being in school during past year
